id,category,question,answer
1,admission,What is the admission process for B.Tech?,"Admissions for B.Tech at Galgotias University are based on JEE Main scores or the Galgotias University Entrance Exam (GUEE). Candidates must apply online, upload required documents, and participate in counselling rounds."
2,admission,What is the minimum eligibility for B.Tech?,"Candidates must have passed 10+2 or equivalent with at least 50% aggregate marks in Physics, Mathematics, and one of Chemistry, Computer Science, or Electronics."
3,admission,Is there any lateral entry option for B.Tech?,"Yes, diploma holders in relevant engineering disciplines can apply for direct second-year admission through the lateral entry scheme as per university norms."
4,admission,What is the admission process for MBA?,"Admission to MBA is based on scores in CAT, MAT, CMAT, or the Galgotias University Management Aptitude Test followed by a personal interview."
5,admission,Is there any entrance exam conducted by the university?,"Yes, Galgotias University conducts its own entrance exams such as GUEE for engineering and other programs if national-level scores are not available."
6,admission,Can I apply for multiple courses at the same time?,"Yes, you can apply for multiple courses by filling separate preferences in the online application form and paying the applicable fee."
7,admission,How can international students apply?,"International students can apply through the International Admissions Cell by submitting academic transcripts, passport copy, English proficiency scores, and other required documents."
8,admission,Is there an online admission facility?,"Yes, the entire admission process including application, document upload, and fee payment can be completed online through the university website."
9,admission,What is the last date to apply for admissions?,The last date to apply varies by program and is announced on the university website every academic year.
10,fees,What is the annual fee for B.Tech CSE?,"The annual academic fee for B.Tech in Computer Science and Engineering is approximately ₹1,60,000, excluding hostel, transport, and examination fees."
11,fees,How can I pay my fees?,"Fees can be paid online via net banking, credit or debit card, UPI, or offline through bank challan at designated bank branches."
12,fees,Is the fee refundable if I cancel my admission?,"Fee refund is processed as per the UGC and university refund policy, depending on the date of withdrawal relative to the course commencement."
13,fees,Are there any additional charges apart from tuition fees?,"Yes, students may need to pay examination fees, registration fees, hostel fees, transport fees, and other applicable charges."
14,fees,Does the university offer installment facility for fee payment?,"In certain cases, the university may allow fee payment in installments upon formal request and approval from the accounts department."
15,fees,What is the mode of payment for hostel fee?,"Hostel fee can be paid online along with academic fees or separately via bank transfer, depending on the instructions given at the time of allotment."
16,fees,Is there a caution money deposit?,"Yes, a one-time refundable caution money deposit is collected at the time of admission, which is refunded upon completion of the program after clearance."
17,hostel,Is hostel facility available for students?,"Yes, Galgotias University provides separate hostel facilities for boys and girls with both AC and non-AC room options."
18,hostel,What facilities are provided in the hostels?,"Hostels include furnished rooms, Wi-Fi, 24x7 security, CCTV, common rooms, television, indoor games, laundry, and medical support."
19,hostel,Are hostel rooms single or shared?,"Both single, double, and triple sharing room options are available depending on the hostel block and fee category."
20,hostel,Is hostel accommodation compulsory?,"No, hostel accommodation is optional. Students may choose to stay in hostels or make their own arrangements outside the campus."
21,hostel,How is hostel allotment done?,"Hostel allotment is done on a first-come, first-served basis after payment of hostel fee and completion of formalities."
22,hostel,Are guests allowed to stay in the hostel?,"Guests are generally not allowed to stay in student hostels. However, separate guest house facilities may be available for parents or guardians."
23,hostel,Is there a hostel curfew time?,"Yes, hostels follow a fixed entry time in the evening for safety and discipline, and students are expected to adhere to the hostel timing rules."
24,hostel,Is mess facility available in the hostel?,"Yes, each hostel has an attached mess that provides hygienic vegetarian and non-vegetarian meals as per the decided menu."
25,transport,Does the university provide transport facilities?,"Yes, the university operates a fleet of buses that connect the campus with major locations across Delhi, Noida, Greater Noida, and Ghaziabad."
26,transport,How can I avail the bus facility?,Students can register for the bus facility at the beginning of the semester by filling the transport form and paying the applicable fee.
27,transport,Can I change my bus route in the middle of the semester?,Route changes may be permitted subject to seat availability and approval from the transport office.
28,transport,What happens if a bus is delayed?,"In case of bus delay, students are informed through official communication channels, and alternative arrangements may be provided if required."
29,placements,How are the placements at Galgotias University?,The university has a strong placement record with a high percentage of students placed each year in reputed national and multinational companies.
